"year","duration","track","artist","mode","target"
"2010","3.14","Wild Things","Alessia Cara","0","1"
"2010","3.42","Love Someone","Lukas Graham","0","1"
"2010","2.4","Juju On That Beat (TZ Anthem)","Zay Hilfigerrr & Zayion McCall","1","1"
"2010","3.57","Here's To Never Growing Up","Avril Lavigne","1","1"
"2010","3.34","Helluva Night","Ludacris","1","1"
"2010","4.24","My Last","Big Sean Featuring Chris Brown","1","1"
"2010","3.33","Break Up In The End","Cole Swindell","1","1"
"2010","3.76","Crawling Back To You","Daughtry","0","1"
"2010","4.45","Hotline Bling","Drake","1","1"
"2010","4.06","Cut Her Off","KCamp Featuring 2 Chainz","1","1"
"2010","3.78","Beautiful People","Chris Brown Featuring Benny Benassi","0","1"
"2010","4.54","Survival","Eminem","1","1"
"2010","3.47","Faster","Matt Nathanson","1","1"
"2010","3.65","Sugar","Robin Schulz Featuring Francesco Yates","0","1"
"2010","3.65","Love Don't Run","Steve Holy","1","1"
"2010","3.72","Lockjaw","French Montana Featuring Kodak Black","0","1"
"2010","3.02","You Should See Me In A Crown","Billie Eilish","1","1"
"2010","4.04","Swish Swish","Katy Perry Featuring Nicki Minaj","0","1"
"2010","4.99","Hot Tottie","Usher Featuring Jay-Z","0","1"
"2010","3.38","Raise Your Glass","P!nk","1","1"
"2010","5.32","Mr. Misunderstood","Eric Church","1","1"
"2010","3.98","Rolex","Ayo & Teo","1","1"
"2010","3.81","B**** I'm Madonna","Madonna Featuring Nicki Minaj","0","1"
"2010","4.14","Good Feeling","Flo Rida","0","1"
"2010","2.86","You Need To Calm Down","Taylor Swift","1","1"
"2010","2.22","Butterfly Doors","Lil Pump","1","1"
"2010","3.17","Somebody","Natalie La Rose Featuring Jeremih","1","1"
"2010","4.16","Don't Cry","Lil Wayne Featuring XXXTENTACION","1","1"
"2010","3.49","The Heart Of Dixie","Danielle Bradbery","1","1"
"2010","3.07","Stereo Love","Edward Maya & Vika Jigulina","1","1"
"2010","2.65","Nice To Meet Ya","Niall Horan","0","1"
"2010","4.12","Setting Fires","The Chainsmokers Featuring XYLO","0","1"
"2010","3.86","Sidewalks","The Weeknd Featuring Kendrick Lamar","0","1"
"2010","4.89","Clique","""Kanye West, Jay-Z, Big Sean""","0","1"
"2010","4","Mama's Song","Carrie Underwood","1","1"
"2010","4.52","Liv Tonight","Nelly Featuring Keri Hilson","1","1"
"2010","4.18","Rockabye","Clean Bandit Featuring Sean Paul & Anne-Marie","0","1"
"2010","7.47","Come Join The Murder","The White Buffalo & The Forest Rangers","1","1"
"2010","2.63","Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee","1","1"
"2010","2.73","Train Food","XXXTENTACION","0","1"
"2010","3.36","Nights Like This","Kehlani Featuring Ty Dolla $ign","1","1"
"2010","2.84","Infrared","Pusha T","0","1"
"2010","3.63","Girl In A Country Song","Maddie & Tae","1","1"
"2010","3.01","Jump Right In","Zac Brown Band","1","1"
"2010","2.58","TATI","6ix9ine Featuring DJ SPINKING","0","1"
"2010","4.41","Codeine Dreaming","Kodak Black Featuring Lil Wayne","0","1"
"2010","6.95","We Are The World 25: For Haiti","Artists For Haiti","1","1"
"2010","3.51","Glory And Gore","Lorde","1","1"
"2010","2.95","No Such Thing As A Broken Heart","Old Dominion","1","1"
"2010","3.97","You & I","One Direction","1","1"
"2010","4.02","Red Room","Offset","0","1"
"2010","5.4","Wicked Games","The Weeknd","1","1"
"2010","3.2","New Freezer","Rich The Kid Featuring Kendrick Lamar","1","1"
"2010","3.66","Gangnam Style","PSY","0","1"
"2010","3.1","One Man Band","Old Dominion","1","1"
"2010","2.83","All To Myself","Dan + Shay","1","1"
"2010","2.94","Rain Is A Good Thing","Luke Bryan","0","1"
"2010","4.74","Meet Me Halfway","The Black Eyed Peas","0","1"
"2010","3.03","I","Lil Skies","1","1"
"2010","3.34","I'm Into You","Jennifer Lopez Featuring Lil Wayne","0","1"
"2010","3.55","Roll In Peace","Kodak Black Featuring XXXTENTACION","0","1"
"2010","3.65","""Work Hard, Play Hard""","Wiz Khalifa","1","1"
"2010","4.39","Love The Way You Lie","Eminem Featuring Rihanna","1","1"
"2010","3.59","Topanga","Trippie Redd","1","1"
"2010","3.16","A Guy With A Girl","Blake Shelton","1","1"
"2010","3.8","I Won't Let Go","Rascal Flatts","1","1"
"2010","5.04","Novacane","Frank Ocean","1","1"
"2010","3.75","We Dem Boyz","Wiz Khalifa","1","1"
"2010","3.66","Lay Me Down","Sam Smith","1","1"
"2010","4.32","Rope","Foo Fighters","0","1"
"2010","5.64","Holy Grail","Jay Z Featuring Justin Timberlake","0","1"
"2010","2.23","Motiv8","J. Cole","1","1"
"2010","4.44","Camouflage","Brad Paisley","1","1"
"2010","5.37","Tuesday","I LOVE MAKONNEN Featuring Drake","1","1"
"2010","3.82","Today","Brad Paisley","1","1"
"2010","3.18","MEGATRON","Nicki Minaj","1","1"
"2010","4.1","I Love You This Big","Scotty McCreery","1","1"
"2010","4.65","Stubborn Love","The Lumineers","1","1"
"2010","3.32","Kill A Word","Eric Church Featuring Rhiannon Giddens","1","1"
"2010","3.17","The Lazy Song","Bruno Mars","1","1"
"2010","4.24","Comin Out Strong","Future Featuring The Weeknd","1","1"
"2010","3.42","Homegrown","Zac Brown Band","1","1"
"2010","3.62","My Chick Bad","Ludacris Featuring Nicki Minaj","1","1"
"2010","3.68","Bright","Echosmith","1","1"
"2010","4.75","Didn't You Know How Much I Loved You","Kellie Pickler","1","1"
"2010","4.48","Temporary Home","Carrie Underwood","1","1"
"2010","4.46","LoveHate Thing","Wale Featuring Sam Dew","1","1"
"2010","3.91","***Flawless","Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie","1","1"
"2010","4.36","No Complaints","Metro Boomin Featuring Offset & Drake","1","1"
"2010","3.68","Change Locations","Drake & Future","1","1"
"2010","3.13","Let Me See Ya Girl","Cole Swindell","1","1"
"2010","3.58","Every Time I Hear That Song","Blake Shelton","1","1"
"2010","4.41","Deja Vu","J. Cole","1","1"
"2010","2.4","Press","Cardi B","1","1"
"2010","3.95","Tell Me You Love Me","Demi Lovato","1","1"
"2010","3.69","Try Me","The Weeknd","0","1"
"2010","3.62","Yours","Russell Dickerson","1","1"
"2010","3.34","Ocean Eyes","Billie Eilish","0","1"
"2010","3.12","I Was Jack (You Were Diane)","Jake Owen","1","1"
"2010","4.19","Give It All We Got Tonight","George Strait","1","1"
"2010","5.15","When We","Tank","0","1"
"2010","3.17","""Break Up With Your Girlfriend, I'm Bored""","Ariana Grande","0","1"
"2010","3.97","All The Right Moves","OneRepublic","1","1"
"2010","4.6","Know Yourself","Drake","0","1"
"2010","4.17","Half Of My Heart","John Mayer","1","1"
"2010","5.87","Bad Habits","Maxwell","0","1"
"2010","3.3","Turn The Night Up","Enrique Iglesias","1","1"
"2010","3.59","Talk That Talk","Rihanna Featuring Jay-Z","1","1"
"2010","2.93","1400 / 999 Freestyle","Trippie Redd Featuring Juice WRLD","0","1"
"2010","3.64","Footloose","Blake Shelton","1","1"
"2010","3.06","Loca","Shakira Featuring Dizzee Rascal","0","1"
"2010","3.46","Never Enough","Loren Allred","1","1"
"2010","4.21","Let Her Go","Passenger","1","1"
"2010","2.72","How Far I'll Go","Auli'i Cravalho","0","1"
"2010","1.4","Love Me Harder","Ariana Grande & The Weeknd","0","1"
"2010","3.97","L$D","A$AP Rocky","1","1"
"2010","3.36","Chanel (Go Get It)","Young Thug Featuring Gunna & Lil Baby","0","1"
"2010","4.85","$ave Dat Money","Lil Dicky Featuring Fetty Wap & Rich Homie Quan","1","1"
"2010","4.47","A Sky Full Of Stars","Coldplay","1","1"
"2010","5.72","Bad And Boujee","Migos Featuring Lil Uzi Vert","1","1"
"2010","4.14","On Fire","Lil Wayne","0","1"
"2010","3.47","Subeme La Radio","""Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul""","0","1"
"2010","3.6","Part Of Me","Katy Perry","1","1"
"2010","4.57","American Saturday Night","Brad Paisley","1","1"
"2010","3.79","I'm Ready","AJR","1","1"
"2010","2.95","Gangsta","Kehlani","0","1"
"2010","3.78","Play It Again","Luke Bryan","1","1"
"2010","3.74","American Girl","Bonnie McKee","0","1"
"2010","3.65","Family Man","Craig Campbell","1","1"
"2010","3.61","Blem","Drake","0","1"
"2010","4.07","Brand New","Ben Rector","1","1"
"2010","3.91","Raging Fire","Phillip Phillips","1","1"
"2010","4.09","Die For Me","Post Malone Featuring Future & Halsey","1","1"
"2010","3.21","Hide Away","Daya","0","1"
"2010","3.41","Mask Off","Future","1","1"
"2010","3.5","A Woman Like You","Lee Brice","1","1"
"2010","3.17","Fix","Chris Lane","0","1"
"2010","3.25","Mr. Saxobeat","Alexandra Stan","0","1"
"2010","2.66","Keep Them Kisses Comin'","Craig Campbell","1","1"
"2010","2.5","Here Comes Santa Claus (Right Down Santa Claus Lane)","Gene Autry","1","1"
"2010","3.5","Memories","David Guetta Featuring Kid Cudi","1","1"
"2010","2.9","Watermelon Sugar","Harry Styles","1","1"
"2010","3.39","If It Ain't Love","Jason Derulo","0","1"
"2010","4.31","Money To Blow","Birdman Featuring Lil Wayne & Drake","1","1"
"2010","3.75","Rude","MAGIC!","1","1"
"2010","3.7","Call On Me","Starley","1","1"
"2010","3.01","Cheerleader","OMI","1","1"
"2010","3.7","The Way Life Goes","Lil Uzi Vert Featuring Nicki Minaj","1","1"
"2010","3.08","Lego House","Ed Sheeran","1","1"
"2010","9.13","Runaway","Kanye West Featuring Pusha T","0","1"
"2010","3.75","Hillbilly Bone","Blake Shelton Featuring Trace Adkins","1","1"
"2010","3.91","OOOUUU","Young M.A","1","1"
"2010","3.4","That's My Girl","Fifth Harmony","0","1"
"2010","4.88","Downtown","""Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz""","1","1"
"2010","3.16","Prayer In C","Lillywood & Robin Schulz","0","1"
"2010","4.1","Dedication","Nipsey Hussle Featuring Kendrick Lamar","0","1"
"2010","3.82","Where Do Broken Hearts Go","One Direction","1","1"
"2010","3.58","Bad Liar","Selena Gomez","1","1"
"2010","3.15","Worth It","YK Osiris","0","1"
"2010","3.81","Unconditionally","Katy Perry","1","1"
"2010","3.51","Little Toy Guns","Carrie Underwood","1","1"
"2010","3.66","Omerta","Drake","1","1"
"2010","3.25","Into The Unknown","Idina Menzel & AURORA","0","1"
"2010","2.88","The Fix","Nelly Featuring Jeremih","1","1"
"2010","5.06","Pop That","""French Montana Featuring Rick Ross, Drake, Lil Wayne""","1","1"
"2010","3.78","The Way","Ariana Grande Featuring Mac Miller","0","1"
"2010","3.48","Rich","Maren Morris","1","1"
"2010","3.29","Up Down","Morgan Wallen Featuring Florida Georgia Line","1","1"
"2010","3.94","P.Y.T. (Pretty Young Thing)","Glee Cast","0","1"
"2010","3.19","Animal","Glee Cast","1","1"
"2010","3.5","Stay","Zedd & Alessia Cara","0","1"
"2010","4.83","Remember You","Wiz Khalifa Featuring The Weeknd","1","1"
"2010","4.5","Heartbreak Warfare","John Mayer","1","1"
"2010","3.29","2 Reasons","Trey Songz Featuring T.I.","1","1"
"2010","4.73","Shining","DJ Khaled Featuring Beyonce & JAY Z","0","1"
"2010","3.16","Still Here","Drake","1","1"
"2010","3.39","Run Up","Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj","0","1"
"2010","3.26","Whispers In The Dark","Mumford & Sons","1","1"
"2010","3.89","Locked Out Of Heaven","Bruno Mars","1","1"
"2010","3.72","Word Crimes","""""""Weird Al"""" Yankovic""","1","1"
"2010","2.94","Issues","Julia Michaels","1","1"
"2010","4.2","Check It Out","will.i.am & Nicki Minaj","1","1"
"2010","3.1","4422","Drake Featuring Sampha","0","1"
"2010","3.38","Young Dumb & Broke","Khalid","1","1"
"2010","3.58","Want U Back","Cher Lloyd","1","1"
"2010","4.76","The Moment I Knew","Taylor Swift","1","1"
"2010","3.64","Molly","""Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall""","1","1"
"2010","3.73","Craving You","Thomas Rhett Featuring Maren Morris","0","1"
"2010","3.32","Something To Do With My Hands","Thomas Rhett","1","1"
"2010","6.53","The Boys of Fall","Kenny Chesney","1","1"
"2010","3.84","Mixed Personalities","YNW Melly Featuring Kanye West","1","1"
"2010","3.66","A Little More Summertime","Jason Aldean","1","1"
"2010","4.12","U Can't Touch This","Glee Cast","1","1"
"2010","4.14","Confident","Justin Bieber Featuring Chance The Rapper","0","1"
"2010","3.6","Hey Pretty Girl","Kip Moore","1","1"
"2010","2.76","Good Vibes","Chris Janson","1","1"
"2010","3.7","Shots","LMFAO Featuring Lil Jon","1","1"
"2010","3.6","One Time","Justin Bieber","0","1"
"2010","2.48","Camelot","NLE Choppa","1","1"
"2010","3.85","Slide","Calvin Harris Featuring Frank Ocean & Migos","0","1"
"2010","3.78","Post To Be","Omarion Featuring Chris Brown & Jhene Aiko","0","1"
"2010","4.09","everything i wanted","Billie Eilish","0","1"
"2010","2.13","I Love It","Kanye West & Lil Pump","1","1"
"2010","3.55","Best Friend","Young Thug","1","1"
"2010","4.35","Bad Liar","Imagine Dragons","1","1"
"2010","2.81","All The Good Girls Go To Hell","Billie Eilish","0","1"
"2010","3.85","You Belong With Me","Taylor Swift","1","1"
"2010","3.37","Ex's & Oh's","Elle King","1","1"
"2010","3.64","Rockstar","Post Malone Featuring 21 Savage","0","1"
"2010","3.84","Check","Young Thug","0","1"
"2010","4","Ain't Back Yet","Kenny Chesney","1","1"
"2010","4.08","Wit Me","T.I. Featuring Lil Wayne","0","1"
"2010","3.1","Little White Church","Little Big Town","1","1"
"2010","4.19","Don't Let Me Be Lonely","The Band Perry","1","1"
"2010","4.69","There Goes My Baby","Usher","0","1"
"2010","3.87","i","Kendrick Lamar","0","1"
"2010","3.67","Congratulations","Post Malone Featuring Quavo","1","1"
"2010","3.23","Growing Pains","Alessia Cara","0","1"
"2010","7.09","Not Ready To Die","Avenged Sevenfold","1","1"
"2010","3.24","Sober Saturday Night","Chris Young Featuring Vince Gill","1","1"
"2010","2.96","Splashin","Rich The Kid","1","1"
"2010","5.57","Redemption","Drake","1","1"
"2010","2.87","Night Shift","Jon Pardi","1","1"
"2010","4.56","Let There Be Cowgirls","Chris Cagle","1","1"
"2010","3.02","Sucker","Jonas Brothers","0","1"
"2010","3.84","Letting Go (Dutty Love)","Sean Kingston Featuring Nicki Minaj","1","1"
"2010","3.62","Need You Now","Glee Cast","1","1"
"2010","4.3","Til It Happens To You","Lady Gaga","1","1"
"2010","4.78","John","Lil Wayne Featuring Rick Ross","1","1"
"2010","4.37","Changed","Rascal Flatts","1","1"
"2010","4.12","How We Do (Party)","Rita Ora","1","1"
"2010","3.66","El Amante","Nicky Jam","1","1"
"2010","3.3","Feelin' It","Scotty McCreery","1","1"
"2010","3.25","Show Me Love","Alicia Keys Featuring Miguel","0","1"
"2010","3.7","Stronger (What Doesn't Kill You)","Kelly Clarkson","1","1"
"2010","3.5","Always Remember Us This Way","Lady Gaga","1","1"
"2010","4.03","Make Me (Cry)","Noah Cyrus Featuring Labrinth","1","1"
"2010","3.33","Turn Me On","David Guetta Featuring Nicki Minaj","1","1"
"2010","3.02","Kiss You In The Morning","Michael Ray","1","1"
"2010","4.35","Castle On The Hill","Ed Sheeran","1","1"
"2010","3.92","Love Yourself","Justin Bieber","1","1"
"2010","1.59","Everybody Dies In Their Nightmares","XXXTENTACION","0","1"
"2010","2.72","Baby","Lil Baby & DaBaby","0","1"
"2010","3.28","Never Gonna Leave This Bed","Maroon 5","1","1"
"2010","3.13","All Gold Everything","Trinidad James","0","1"
"2010","3.78","Who Do You Love","The Chainsmokers Featuring 5 Seconds Of Summer","1","1"
"2010","3.78","Beauty And A Beat","Justin Bieber Featuring Nicki Minaj","1","1"
"2010","3.89","Heart Attack","Trey Songz","1","1"
"2010","2.67","Ophelia","The Lumineers","1","1"
"2010","3.39","Lettin' The Night Roll","Justin Moore","1","1"
"2010","3.76","This Is America","Childish Gambino","1","1"
"2010","3.11","My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy","0","1"
"2010","3.91","Freak The Freak Out","Victorious Cast Featuring Victoria Justice","1","1"
"2010","4.56","Alone","Marshmello","1","1"
"2010","3.33","American Country Love Song","Jake Owen","1","1"
"2010","3.22","Sick Boy","The Chainsmokers","0","1"
"2010","3.38","If I Didn't Have You","Thompson Square","1","1"
"2010","3.45","Can't Remember To Forget You","Shakira Featuring Rihanna","0","1"
"2010","2.73","You Was Right","Lil Uzi Vert","1","1"
"2010","5","Make Love","Gucci Mane & Nicki Minaj","1","1"
"2010","5.02","Alice","Avril Lavigne","1","1"
"2010","3.6","The Breath You Take","George Strait","0","1"
"2010","4.18","What's The Move","Young Thug Featuring Lil Uzi Vert","1","1"
"2010","3.72","You Can't Stop The Beat","Glee Cast","1","1"
"2010","2.96","I'm Not Gonna Miss You","Glen Campbell","1","1"
"2010","3.28","679","Fetty Wap Featuring Remy Boyz","1","1"
"2010","2.51","Bad Vibes Forever","XXXTENTACION Featuring PnB Rock & Trippie Redd","1","1"
"2010","4.39","Come Wake Me Up","Rascal Flatts","1","1"
"2010","3.98","Is Anybody Out There?","K'Naan Featuring Nelly Furtado","1","1"
"2010","3.29","Diamond Rings And Old Barstools","Tim McGraw With Catherine Dunn","1","1"
"2010","3.77","In The Dark","Dev","1","1"
"2010","4.27","Don't You Wanna Stay","Jason Aldean With Kelly Clarkson","1","1"
"2010","3.39","Alone Together","Fall Out Boy","1","1"
"2010","4.72","Tattoo","Van Halen","1","1"
"2010","2.95","Crew","GoldLink Featuring Brent Faiyaz & Shy Glizzy","0","1"
"2010","3.92","No Heart","21 Savage & Metro Boomin","0","1"
"2010","3.59","All Eyez","The Game Featuring Jeremih","1","1"
"2010","4.43","Secrets","The Weeknd","1","1"
"2010","3.36","You Don't Own Me","Grace Featuring G-Eazy","1","1"
"2010","3.98","Coming Home","Diddy - Dirty Money Featuring Skylar Grey","1","1"
"2010","3.14","Sin Pijama","Becky G + Natti Natasha","0","1"
"2010","3.63","I Knew You Were Trouble.","Taylor Swift","0","1"
"2010","2.77","Twerk","City Girls Featuring Cardi B","0","1"
"2010","3.22","HandClap","Fitz And The Tantrums","1","1"
"2010","4.65","Writing's On The Wall","Sam Smith","0","1"
"2010","3.26","Female","Keith Urban","0","1"
"2010","3.55","Blame","Calvin Harris Featuring John Newman","0","1"
"2010","3.76","Daylight","Maroon 5","1","1"
"2010","3.51","The Dance","Lauren Duski","1","1"
"2010","4.24","First Day Out","Tee Grizzley","1","1"
"2010","4.22","Love Me","Lil Wayne Featuring Drake & Future","0","1"
"2010","3.36","Where I Come From","Montgomery Gentry","1","1"
"2010","3.7","Paranoid","Post Malone","1","1"
"2010","2.97","Don't Call Me Up","Mabel","1","1"
"2010","3.85","Broken Clocks","SZA","1","1"
"2010","3.32","Sexy And I Know It","LMFAO","1","1"
"2010","3.59","Relationship","Young Thug Featuring Future","1","1"
"2010","4.41","Apes**t","The Carters","1","1"
"2010","4.51","Sing","My Chemical Romance","1","1"
"2010","2.55","No Excuses","Meghan Trainor","1","1"
"2010","3.47","Company","Justin Bieber","0","1"
"2010","2.18","Jingle Bell Rock","Bobby Helms","1","1"
"2010","3.22","The Only Way I Know","Jason Aldean With Luke Bryan & Eric Church","1","1"
"2010","3.87","Malibu","Miley Cyrus","1","1"
"2010","3.89","Slide Away","Miley Cyrus","1","1"
"2010","2.18","Mine","Bazzi","1","1"
"2010","4.31","X","21 Savage & Metro Boomin Featuring Future","1","1"
"2010","4","Storm Warning","Hunter Hayes","1","1"
"2010","4.36","Lookin' For That Girl","Tim McGraw","1","1"
"2010","2.95","Everybody Talks","Neon Trees","1","1"
"2010","3.87","Delicate","Taylor Swift","0","1"
"2010","3.23","Runnin' Outta Moonlight","Randy Houser","1","1"
"2010","4.48","Ghostface Killers","""21 Savage, Offset & Metro Boomin Featuring Travis Scott""","1","1"
"2010","3.37","Juicy","Doja Cat & Tyga","1","1"
"2010","5.35","All I Know","The Weeknd Featuring Future","0","1"
"2010","4.01","Every Teardrop Is A Waterfall","Coldplay","1","1"
"2010","3.28","Everything To Me","Monica","0","1"
"2010","3.46","Say Aah","Trey Songz Featuring Fabolous","0","1"
"2010","4.21","The Outsiders","Eric Church","1","1"
"2010","3.72","Feels","""Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean""","0","1"
"2010","3.54","Ain't Worried About Nothin","French Montana","1","1"
"2010","3.11","Round & Round","Selena Gomez & The Scene","1","1"
"2010","3.54","Fast Car","Jonas Blue Featuring Dakota","1","1"
"2010","3.48","Desperate Man","Eric Church","1","1"
"2010","3.48","(If You're Wondering If I Want You To) I Want You To","Weezer","0","1"
"2010","3.52","For Her","Chris Lane","1","1"
"2010","4.08","End Game","Taylor Swift Featuring Ed Sheeran & Future","1","1"
"2010","3.85","Better Now","Post Malone","1","1"
"2010","3.88","(Kissed You) Good Night","Gloriana","1","1"
"2010","3.84","Blue Ain't Your Color","Keith Urban","1","1"
"2010","3.6","Don't Go Breaking My Heart","Backstreet Boys","1","1"
"2010","4.58","Prisoner","The Weeknd Featuring Lana Del Rey","0","1"
"2010","3.35","Lost In Japan","Shawn Mendes X Zedd","1","1"
"2010","3.23","Me And My Broken Heart","Rixton","0","1"
"2010","3.21","Miss Me More","Kelsea Ballerini","1","1"
"2010","3.34","Get Ugly","Jason Derulo","0","1"
"2010","4.18","Cranes In The Sky","Solange","1","1"
"2010","3.21","You And Your Heart","Jack Johnson","1","1"
"2010","3.86","I Like It","Enrique Iglesias Featuring Pitbull","0","1"
"2010","3.96","Hello","Karmin","1","1"
"2010","3.18","Ready Set Roll","Chase Rice","1","1"
"2010","3.22","Girl Crush","Little Big Town","1","1"
"2010","4.49","All Of Me","John Legend","1","1"
"2010","3.62","You","Jacquees","0","1"
"2010","3.74","That's How Country Boys Roll","Billy Currington","1","1"
"2010","3.33","Super Bass","Nicki Minaj","1","1"
"2010","3.25","Everyday","Ariana Grande Featuring Future","0","1"
"2010","2.67","Booty","Blac Youngsta","1","1"
"2010","1.79","Jorja Interlude","Drake","1","1"
"2010","2.62","Unforgettable","Thomas Rhett","1","1"
"2010","2.2","Everytime","Ariana Grande","0","1"
"2010","3.42","Cold One","Eric Church","1","1"
"2010","2.7","Rotten To The Core","""Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson""","0","1"
"2010","3.65","Listen","Glee Cast","1","1"
"2010","4.14","Not Afraid","Eminem","0","1"
"2010","3.19","Every Breath You Take","Hannah Huston","0","1"
"2010","3.14","I Like It Like That","Hot Chelle Rae Featuring New Boyz","1","1"
"2010","3.35","Who's That Chick?","David Guetta Featuring Rihanna","0","1"
"2010","3.88","Body","Dreezy Featuring Jeremih","1","1"
"2010","4.01","Good Old Days","Macklemore Featuring Kesha","1","1"
"2010","4.14","The Sound Of Silence","Disturbed","0","1"
"2010","1.61","Baby Shark","Pinkfong","1","1"
"2010","4.09","Controlla","Drake","0","1"
"2010","4.12","I Don't Wanna Live Forever (Fifty Shades Darker)","Zayn / Taylor Swift","1","1"
"2010","3.55","Come Get Her","Rae Sremmurd","1","1"
"2010","3.74","Riff Off: Mickey / Like A Virgin / Hit Me With Your Best Shot...","""The Barden Bellas, The Treblemakers & The BU Harmonics""","1","1"
"2010","8.93","Oceans (Where Feet May Fail)","Hillsong UNITED","1","1"
"2010","3.88","Call Casting","Migos","1","1"
"2010","4.64","Get You","Daniel Caesar Featuring Kali Uchis","0","1"
"2010","3.05","Mistletoe","Justin Bieber","0","1"
"2010","2.83","W O R K I N  M E","Quavo","1","1"
"2010","3.78","A Lie","French Montana Featuring The Weeknd & Max B","0","1"
"2010","4.01","Planez","Jeremih Featuring J. Cole","1","1"
"2010","3.98","Rockstar 101","Rihanna Featuring Slash","1","1"
"2010","3.38","Love You Like That","Canaan Smith","1","1"
"2010","3.19","Hello","Martin Solveig & Dragonette","1","1"
"2010","3.5","Snap Backs & Tattoos","Driicky Graham","0","1"
"2010","3.12","Make It Sweet","Old Dominion","1","1"
"2010","3.36","No Mediocre","T.I. Featuring Iggy Azalea","1","1"
"2010","3.79","Russian Roulette","Rihanna","0","1"
"2010","4.15","Often","The Weeknd","0","1"
"2010","3","Pretty Good At Drinkin' Beer","Billy Currington","1","1"
"2010","4.4","Blurred Lines","Robin Thicke Featuring T.I. + Pharrell","1","1"
"2010","2.55","What Would Meek Do?","Pusha T Featuring Kanye West","1","1"
"2010","3.72","I Fall Apart","Post Malone","0","1"
"2010","3.86","Helluva Life","Frankie Ballard","1","1"
"2010","4.56","Colder Weather","Zac Brown Band","1","1"
