"year","duration","track"
"2010","3.14","Wild Things"
"2010","3.42","Love Someone"
"2010","2.4","Juju On That Beat (TZ Anthem)"
"2010","3.57","Here's To Never Growing Up"
"2010","3.34","Helluva Night"
"2010","4.24","My Last"
"2010","3.33","Break Up In The End"
"2010","3.76","Crawling Back To You"
"2010","4.45","Hotline Bling"
"2010","4.06","Cut Her Off"
"2010","3.78","Beautiful People"
"2010","4.54","Survival"
"2010","3.47","Faster"
"2010","3.65","Sugar"
"2010","3.65","Love Don't Run"
"2010","3.72","Lockjaw"
"2010","3.02","You Should See Me In A Crown"
"2010","4.04","Swish Swish"
"2010","4.99","Hot Tottie"
"2010","3.38","Raise Your Glass"
"2010","5.32","Mr. Misunderstood"
"2010","3.98","Rolex"
"2010","3.81","B**** I'm Madonna"
"2010","4.14","Good Feeling"
"2010","2.86","You Need To Calm Down"
"2010","2.22","Butterfly Doors"
"2010","3.17","Somebody"
"2010","4.16","Don't Cry"
"2010","3.49","The Heart Of Dixie"
"2010","3.07","Stereo Love"
"2010","2.65","Nice To Meet Ya"
"2010","4.12","Setting Fires"
"2010","3.86","Sidewalks"
"2010","4.89","Clique"
"2010","4","Mama's Song"
"2010","4.52","Liv Tonight"
"2010","4.18","Rockabye"
"2010","7.47","Come Join The Murder"
"2010","2.63","Sunflower (Spider-Man: Into The Spider-Verse)"
"2010","2.73","Train Food"
"2010","3.36","Nights Like This"
"2010","2.84","Infrared"
"2010","3.63","Girl In A Country Song"
"2010","3.01","Jump Right In"
"2010","2.58","TATI"
"2010","4.41","Codeine Dreaming"
"2010","6.95","We Are The World 25: For Haiti"
"2010","3.51","Glory And Gore"
"2010","2.95","No Such Thing As A Broken Heart"
"2010","3.97","You & I"
"2010","4.02","Red Room"
"2010","5.4","Wicked Games"
"2010","3.2","New Freezer"
"2010","3.66","Gangnam Style"
"2010","3.1","One Man Band"
"2010","2.83","All To Myself"
"2010","2.94","Rain Is A Good Thing"
"2010","4.74","Meet Me Halfway"
"2010","3.03","I"
"2010","3.34","I'm Into You"
"2010","3.55","Roll In Peace"
"2010","3.65","""Work Hard, Play Hard"""
"2010","4.39","Love The Way You Lie"
"2010","3.59","Topanga"
"2010","3.16","A Guy With A Girl"
"2010","3.8","I Won't Let Go"
"2010","5.04","Novacane"
"2010","3.75","We Dem Boyz"
"2010","3.66","Lay Me Down"
"2010","4.32","Rope"
"2010","5.64","Holy Grail"
"2010","2.23","Motiv8"
"2010","4.44","Camouflage"
